id,user_pattern,departure_station,arrival_station,arrival_day,arrival_time,purchase_day,service,service_departure_time,service_arrival_time,seat,price,utility,best_service,best_seat,best_utility
2776,Tourist,04040,71801,2023-09-06,21.29430038105434,10,06309_06-09-2023-19.30,19.5,23.85,Básico,25,49.868125,03203_06-09-2023-20.40,Básico,51.13333333333334
2777,Business,04040,71801,2023-09-06,5.552931846764931,2,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2778,Business,04040,71801,2023-09-06,8.218487645786034,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2779,Tourist,04040,71801,2023-09-06,9.933143081776631,13,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
278,Student,60000,04040,2023-09-06,16.71368711825426,0,03173_06-09-2023-17.30,17.5,20.7,Básico,92,24.6796875,03143_06-09-2023-14.30,Básico,25.86640625
2780,Business,04040,71801,2023-09-06,7.859286299303564,2,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2781,Tourist,04040,71801,2023-09-06,5.111076480779971,12,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2782,Business,04040,71801,2023-09-06,9.077814323681407,6,03083_06-09-2023-08.30,8.5,11.25,Premium,89.4,97.5,03073_06-09-2023-07.30,Premium,98.6
2783,Student,04040,71801,2023-09-06,13.853277941147498,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2784,Business,04040,71801,2023-09-06,6.843558374952571,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2785,Tourist,04040,71801,2023-09-06,17.520407481319467,5,03183_06-09-2023-18.30,18.5,21.333333333333332,Elige,50.25,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2786,Business,04040,71801,2023-09-06,7.030890830427625,2,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2787,Business,04040,71801,2023-09-06,6.246164172597714,6,03083_06-09-2023-08.30,8.5,11.25,Premium,89.4,97.5,03073_06-09-2023-07.30,Premium,98.6
2788,Tourist,04040,71801,2023-09-06,4.235838599841285,8,03183_06-09-2023-18.30,18.5,21.333333333333332,Básico,45.35,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2789,Tourist,04040,71801,2023-09-06,22.796261135399206,13,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
279,Student,60000,04040,2023-09-06,17.853590638215685,0,03173_06-09-2023-17.30,17.5,20.7,Básico,92,24.6796875,03143_06-09-2023-14.30,Básico,25.86640625
2790,Tourist,04040,71801,2023-09-06,9.872896532147816,3,03173_06-09-2023-17.30,17.5,20.7,Básico,52.9,46.01875,03203_06-09-2023-20.40,Básico,51.13333333333334
2791,Student,04040,71801,2023-09-06,15.840286809968287,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2792,Business,04040,71801,2023-09-06,8.934482852403157,3,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2793,Student,04040,71801,2023-09-06,14.985324557833009,1,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2794,Student,04040,71801,2023-09-06,14.541011161096343,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2795,Tourist,04040,71801,2023-09-06,17.148019552924197,5,03183_06-09-2023-18.30,18.5,21.333333333333332,Elige,50.25,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2796,Business,04040,71801,2023-09-06,8.246528448831361,4,03073_06-09-2023-07.30,7.5,10.7,Básico,45.35,78.6,03073_06-09-2023-07.30,Premium,98.6
2797,Tourist,04040,71801,2023-09-06,2.202581994707959,1,03163_06-09-2023-16.30,16.5,20.466666666666665,Básico,68.05,45.1025,03203_06-09-2023-20.40,Básico,51.13333333333334
2798,Tourist,04040,71801,2023-09-06,15.095575598454912,13,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2799,Business,04040,71801,2023-09-06,7.20173923772155,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
28,Student,60000,04040,2023-09-06,17.549215659837557,2,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,44.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
